Username,Text,language,retweet_count,Time,location
Con_E76,World! Help! #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak https://t.co/QUQwhbuOaK,en,0,2022-12-20 03:23:14+00:00,Canadia
Con_E76,@IranIntl_En Very Brave!  #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-20 01:46:40+00:00,Canadia
Con_E76,@NazaninNour I said the same!  #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-20 01:37:11+00:00,Canadia
woman_life_fre,"Whenever legislators .. reduce them [people] to slavery under arbitrary power, they put themselves into a state of war with the people. #JohnLocke  Day 1 of 3-days protest/strike in progress #IranRevolution  #HosseinRonaghi #MahsaAmini #مهسا_امینی",en,1,2022-12-19 20:03:00+00:00,
zan1366zendegi,"The Iranians are not only geniuses and experts in their own fields, but they're also ethical human beings. That's the reason why #HosseinRonaghi languished in prison. That's why #ArashSadeghi is risking his life for a free and democratic Iran. https://t.co/1LuKx6q2hE",en,6,2022-12-19 19:47:03+00:00,
woman_life_fre,"When dictatorship is a fact, revolution becomes a right. #VictorHugo  Day 1 of 3-days protest/strike in progress #IranRevolution  #HosseinRonaghi #MahsaAmini #مهسا_امینی",en,0,2022-12-19 19:35:58+00:00,
crimsonboudoir,@chelseahartisme @crimsonboudoir Sick sick #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak.,en,2,2022-12-19 15:53:13+00:00,New York
Con_E76,@chelseahartisme @crimsonboudoir Sick sick #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak.,en,2,2022-12-19 08:14:02+00:00,Canadia
EsmaeilyLayla,"December 17, 2022 - Federal Building   #MahsaAmini #NikaShakarami #HosseinRonaghi #FreeIran https://t.co/a0qai1NVCI",en,0,2022-12-19 05:05:54+00:00,
MansouriMaleki,"@HosseinRonaghi Dear Hosein,  Thank you 👍🏼     #MahsaAmini  #HosseinRonaghi",en,1,2022-12-19 00:20:14+00:00,لندن
Con_E76,@shakira Thank you Shakira!  #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-18 18:07:11+00:00,Canadia
Con_E76,@AlirezaAkhondi Indeed.#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-18 18:02:41+00:00,Canadia
Con_E76,@jes_chastain Thank you Jessica!  #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-18 17:36:12+00:00,Canadia
Con_E76,@JasonMBrodsky Let's gooooo!!!!#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-18 17:19:03+00:00,Canadia
thevmir,"Seriously Kazem Gharibabadi, IR Secretary of Council for Human Rights!! is in NY on an @UN visit while @HassanRonaghi and his parents are running around Tehran asking where #HosseinRonaghi is?!! 👀    @UN MUST STOP ALL MEETINGS WITH IR OFFICIALS NOW DEMANDING ANSWERS!    #MahsaAmini https://t.co/lwbQG7Rw74",en,5915,2022-12-18 08:20:08+00:00,
DreamRoya12,Check out user6323490552248's video! #TikTok https://t.co/zsuMXg9Ze0 #POTUS #FreeIran #HosseinRonaghi #StopExecutionsInIran  #OpIran #NikaShakeami #Unicef #ToomajSalehi #NiloofarHamedi #IranRevolution2022,en,0,2022-12-18 04:03:15+00:00,"Santa Cruz, CA"
Brill_Rmz,@HosseinRonaghi We'll always support #HosseinRonaghi. #حسين_رونقی,en,0,2022-12-17 20:06:48+00:00,
