Username,Text,language,retweet_count,Time,location
sepi___deh,"@fatemeh_mah7 @UN_CSW #NikaShakarami #sarinaesmailzadeh #kianpirfalak #Armita_Abbasi #HosseinRonaghi #ToomajSalehi #MahsaAmini Freedom for you Regime paid supporters is, that you live a free life with the bloody money that you have stolen from the people, while torturing, raping and murdering children https://t.co/RtcLrV5C6Y",en,0,2022-12-14 14:43:04+00:00,
sepi___deh,"@yektabahadori78 @UN_CSW #NikaShakarami #sarinaesmailzadeh #kianpirfalak #Armita_Abbasi #HosseinRonaghi #ToomajSalehi #MahsaAmini Freedom for you Regime paid supporters is, that you live a free life with the bloody money that you have stolen from the people, while torturing, raping and murdering children",en,0,2022-12-14 14:42:19+00:00,
sepi___deh,"@Effati_Saeede @UN_CSW #NikaShakarami #sarinaesmailzadeh #kianpirfalak #Armita_Abbasi #HosseinRonaghi #ToomajSalehi #MahsaAmini Freedom for you Regime paid supporters is, that you live a free life with the bloody money that you have stolen from the people, while torturing, raping and murdering children https://t.co/BKfBibqgMl",en,0,2022-12-14 14:41:54+00:00,
sepi___deh,@UN_CSW Ban Iran already! They should have never had the chance to get a seat at the table to begin with! #IranRevoIution #NikaShakarami #sarinaesmailzadeh #kianpirfalak #Armita_Abbasi #HosseinRonaghi #ToomajSalehi #MahsaAmini https://t.co/0b14QO09tQ,en,0,2022-12-14 14:38:29+00:00,
soofidargah,You will NOT break us!!  #IranRevoIution2022   #HosseinRonaghi https://t.co/whJdvVZAr9,en,802,2022-12-14 12:00:56+00:00,
PaoloBersani9,You will NOT break us!!  #IranRevoIution2022   #HosseinRonaghi https://t.co/whJdvVZAr9,en,802,2022-12-14 11:28:04+00:00,
MinuD19,"@AzadehRojhan Expell all the ""Iranian"" diplomats and shut their embassies.    #FreeToomajSalehi  #mahsaami̇ni̇ #OpIran‌ #IranRevolution2022 #IranProtests2022 #سپیده_قلیان #حسين_رونقی #HosseinRonaghi",en,0,2022-12-14 11:20:33+00:00,
LionHeartChick,"@neTWjl7F8PESx2N خاک بر سر ما! اینهمه تهدید و توهین    This is what #HosseinRonaghi wrote about our King coming back to Iran. He insulted the King and monarchists a few times in 1st tweet, then threatens us with ""divine and public punishment""! #wtf #مهسا_امینی",en,1,2022-12-14 10:50:29+00:00,Iran
DavidAstbury19,@IOPHRpress @NazaninBoniadi @NazaninAJ @drninaansary @AlirezaNader @UN @UNHumanRights @Europarl_EN @UKParliament @Omid_M @EUCouncil UN Help! #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,4,2022-12-14 10:21:27+00:00,
kianomadi,@IOPHRpress @NazaninBoniadi @NazaninAJ @drninaansary @AlirezaNader @UN @UNHumanRights @Europarl_EN @UKParliament @Omid_M @EUCouncil UN Help! #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,4,2022-12-14 09:36:26+00:00,
mastane72735205,"@Action4IR @JakeSullivan46 Thank JakeSullivan for stating the U.S. concern over mass arrest, death sentences &amp; welfare of #HosseinRonaghi. Ask him to put sanctions on the 227 Iran Parliment members (Link). Retweet the above.     Action For Iran  Group | Channel | Twitter | Instagram | Facebook",en,2,2022-12-14 09:30:30+00:00,United States
mastane72735205,"@Action4IR @JakeSullivan46 Thank JakeSullivan for stating the U.S. concern over mass arrest, death sentences &amp; welfare of #HosseinRonaghi. Ask him to put sanctions on the 227 Iran Parliment members (Link). Retweet the above.",en,18,2022-12-14 09:30:21+00:00,United States
mastane72735205,"@Action4IR @JakeSullivan46 Thanks @JakeSullivan46 for stating the U.S. concern over mass arrests and death sentences of protesters in #Iran &amp; also the welfare of our activist #HosseinRonaghi.  Please put sanctions on the 227 Iran Parliment members who advocate death sentences for 14,000 arrested protesters.",en,4,2022-12-14 09:30:18+00:00,United States
mastane72735205,"@Action4IR @JakeSullivan46 Thank JakeSullivan for stating the U.S. concern over mass arrest, death sentences &amp; welfare of #HosseinRonaghi. Ask him to put sanctions on the 227 Iran Parliment members (Link). Retweet the above",en,7,2022-12-14 09:20:40+00:00,United States
mastane72735205,"@Action4IR @JakeSullivan46 Thanks @JakeSullivan46 for stating the U.S. concern over mass arrests and death sentences of protesters in #Iran &amp; also the welfare of our activist #HosseinRonaghi.  Please put sanctions on the 227 Iran Parliment members who advocate death sentences for 14,000 arrested protesters.",en,9,2022-12-14 09:20:20+00:00,United States
Con_E76,@ksadjadpour Brave!#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-14 08:38:31+00:00,Canadia
Con_E76,@IOPHRpress @NazaninBoniadi @NazaninAJ @drninaansary @AlirezaNader @UN @UNHumanRights @Europarl_EN @UKParliament @Omid_M @EUCouncil UN Help! #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,4,2022-12-14 06:16:57+00:00,Canadia
Con_E76,@Rez_AmongUs @khamenei_ir @UN @UNHumanRights IN HELP!#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-14 06:16:26+00:00,Canadia
Con_E76,@Rez_AmongUs @billmaher @bariweiss @TheFP Exactly.#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-14 06:13:12+00:00,Canadia
Con_E76,@NazaninNour Terrifying World Help #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-14 06:07:45+00:00,Canadia
M3Raanaa,@M3Raanaa @tparsi Couple more: #HosseinRonaghi #MohsenShekari,en,1,2022-12-14 04:51:11+00:00,
Neekiiiiiii,@M3Raanaa @tparsi Couple more: #HosseinRonaghi #MohsenShekari,en,1,2022-12-14 04:50:24+00:00,HomeSweetHome
w_freedom4iran,Be United! These are strong Iranian Opposition &amp; they’re the voice of Iranian citizens. Reza Pahlavi supports a democratic government and he does not want to be a king. #RezaPahlavi #MasihAlinejad #AliKarimi #NazaninBonadi #HamedEsmaeilion #AliDai #HosseinRonaghi https://t.co/kYkTZlIVA8,en,1,2022-12-13 22:40:40+00:00,
w_freedom4iran,Be United! These are strong Iranian Opposition &amp; they’re the voice of Iranian citizens. Reza Pahlavi supports a democratic government and he does not want to be a king. #RezaPahlavi #MasihAlinejad #AliKarimi #NazaninBonadi #HamedEsmaeilion #AliDai #HosseinRonaghi https://t.co/kYkTZlIVA8,en,1,2022-12-13 22:40:30+00:00,
solitazoro,"#HosseinRonaghi, a renowned Iranian activist, has been hospitalized due to torture. While ordinary Iranians have surrounded the hospital to support him, the regime is busy shooting at them. This is how scared the regime is of people. Iranian people aren’t scared. https://t.co/6Y6RnJ7eB8",en,1197,2022-12-13 20:37:16+00:00,
Daniela48054679,".#HosseinRonaghi’s parents sit 24/7 outside the walls of #Evin prison waiting for news about their son, arrested over a month ago, held in solitary, legs broken, on hunger strike.  Be his voice. Be their voices. Pls.  📸 via @AlinejadMasih   #MahsaAmini #IranRevolution   #مهسا_امینی https://t.co/WcBx5CaXzd",en,165,2022-12-13 18:41:26+00:00,
ikeop2,"Thank you @JakeSullivan46 for expressing U.S. concern over the welfare of #HosseinRonaghi in #Iran and warning the regime ""the eyes of the world are on Iran."" #MahsaAmini https://t.co/EJglZaNOhZ",en,2765,2022-12-13 17:11:22+00:00,"karaj, IRAN"
Con_E76,@omid9 It doesn't end?#StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-13 16:46:15+00:00,Canadia
nasoleymani,Free #HosseinRonaghi from Islamic Republic prison,en,0,2022-12-13 16:34:40+00:00,London
